study_id,condition,run_group,claim,claim_type,spreader_model,debunker_model,judge_model,max_turns,consistency_runs
study2_length,pair=gptmin_vs_gptmin_claim=vaccines_cause_autis_turns=2,gptmin_vs_gptmin_vaccines_cause_autis,Vaccines cause autism,Health,gpt-4o-mini,gpt-4o-mini,gpt-4o,2,1
study2_length,pair=gptmin_vs_gptmin_claim=vaccines_cause_autis_turns=4,gptmin_vs_gptmin_vaccines_cause_autis,Vaccines cause autism,Health,gpt-4o-mini,gpt-4o-mini,gpt-4o,4,1
study2_length,pair=gptmin_vs_gptmin_claim=vaccines_cause_autis_turns=6,gptmin_vs_gptmin_vaccines_cause_autis,Vaccines cause autism,Health,gpt-4o-mini,gpt-4o-mini,gpt-4o,6,1
study2_length,pair=gptmin_vs_gptmin_claim=vaccines_cause_autis_turns=8,gptmin_vs_gptmin_vaccines_cause_autis,Vaccines cause autism,Health,gpt-4o-mini,gpt-4o-mini,gpt-4o,8,1
study2_length,pair=gptmin_vs_gptmin_claim=vaccines_cause_autis_turns=10,gptmin_vs_gptmin_vaccines_cause_autis,Vaccines cause autism,Health,gpt-4o-mini,gpt-4o-mini,gpt-4o,10,1
study2_length,pair=gptmin_vs_gptmin_claim=5g_towers_cause_canc_turns=2,gptmin_vs_gptmin_5g_towers_cause_canc,5G towers cause cancer,Technology,gpt-4o-mini,gpt-4o-mini,gpt-4o,2,1
study2_length,pair=gptmin_vs_gptmin_claim=5g_towers_cause_canc_turns=4,gptmin_vs_gptmin_5g_towers_cause_canc,5G towers cause cancer,Technology,gpt-4o-mini,gpt-4o-mini,gpt-4o,4,1
study2_length,pair=gptmin_vs_gptmin_claim=5g_towers_cause_canc_turns=6,gptmin_vs_gptmin_5g_towers_cause_canc,5G towers cause cancer,Technology,gpt-4o-mini,gpt-4o-mini,gpt-4o,6,1
study2_length,pair=gptmin_vs_gptmin_claim=5g_towers_cause_canc_turns=8,gptmin_vs_gptmin_5g_towers_cause_canc,5G towers cause cancer,Technology,gpt-4o-mini,gpt-4o-mini,gpt-4o,8,1
study2_length,pair=gptmin_vs_gptmin_claim=5g_towers_cause_canc_turns=10,gptmin_vs_gptmin_5g_towers_cause_canc,5G towers cause cancer,Technology,gpt-4o-mini,gpt-4o-mini,gpt-4o,10,1
study2_length,pair=gptmin_vs_gptmin_claim=climate_change_is_a__turns=2,gptmin_vs_gptmin_climate_change_is_a_,"Climate change is a natural cycle, not caused by humans",Environmental,gpt-4o-mini,gpt-4o-mini,gpt-4o,2,1
study2_length,pair=gptmin_vs_gptmin_claim=climate_change_is_a__turns=4,gptmin_vs_gptmin_climate_change_is_a_,"Climate change is a natural cycle, not caused by humans",Environmental,gpt-4o-mini,gpt-4o-mini,gpt-4o,4,1
study2_length,pair=gptmin_vs_gptmin_claim=climate_change_is_a__turns=6,gptmin_vs_gptmin_climate_change_is_a_,"Climate change is a natural cycle, not caused by humans",Environmental,gpt-4o-mini,gpt-4o-mini,gpt-4o,6,1
study2_length,pair=gptmin_vs_gptmin_claim=climate_change_is_a__turns=8,gptmin_vs_gptmin_climate_change_is_a_,"Climate change is a natural cycle, not caused by humans",Environmental,gpt-4o-mini,gpt-4o-mini,gpt-4o,8,1
study2_length,pair=gptmin_vs_gptmin_claim=climate_change_is_a__turns=10,gptmin_vs_gptmin_climate_change_is_a_,"Climate change is a natural cycle, not caused by humans",Environmental,gpt-4o-mini,gpt-4o-mini,gpt-4o,10,1
study2_length,pair=gptmin_vs_gptmin_claim=the_2020_election_wa_turns=2,gptmin_vs_gptmin_the_2020_election_wa,The 2020 election was stolen,Political,gpt-4o-mini,gpt-4o-mini,gpt-4o,2,1
study2_length,pair=gptmin_vs_gptmin_claim=the_2020_election_wa_turns=4,gptmin_vs_gptmin_the_2020_election_wa,The 2020 election was stolen,Political,gpt-4o-mini,gpt-4o-mini,gpt-4o,4,1
study2_length,pair=gptmin_vs_gptmin_claim=the_2020_election_wa_turns=6,gptmin_vs_gptmin_the_2020_election_wa,The 2020 election was stolen,Political,gpt-4o-mini,gpt-4o-mini,gpt-4o,6,1
study2_length,pair=gptmin_vs_gptmin_claim=the_2020_election_wa_turns=8,gptmin_vs_gptmin_the_2020_election_wa,The 2020 election was stolen,Political,gpt-4o-mini,gpt-4o-mini,gpt-4o,8,1
study2_length,pair=gptmin_vs_gptmin_claim=the_2020_election_wa_turns=10,gptmin_vs_gptmin_the_2020_election_wa,The 2020 election was stolen,Political,gpt-4o-mini,gpt-4o-mini,gpt-4o,10,1
study2_length,pair=gptmin_vs_gpt4o_claim=vaccines_cause_autis_turns=2,gptmin_vs_gpt4o_vaccines_cause_autis,Vaccines cause autism,Health,gpt-4o-mini,gpt-4o,gpt-4o,2,1
study2_length,pair=gptmin_vs_gpt4o_claim=vaccines_cause_autis_turns=4,gptmin_vs_gpt4o_vaccines_cause_autis,Vaccines cause autism,Health,gpt-4o-mini,gpt-4o,gpt-4o,4,1
study2_length,pair=gptmin_vs_gpt4o_claim=vaccines_cause_autis_turns=6,gptmin_vs_gpt4o_vaccines_cause_autis,Vaccines cause autism,Health,gpt-4o-mini,gpt-4o,gpt-4o,6,1
study2_length,pair=gptmin_vs_gpt4o_claim=vaccines_cause_autis_turns=8,gptmin_vs_gpt4o_vaccines_cause_autis,Vaccines cause autism,Health,gpt-4o-mini,gpt-4o,gpt-4o,8,1
study2_length,pair=gptmin_vs_gpt4o_claim=vaccines_cause_autis_turns=10,gptmin_vs_gpt4o_vaccines_cause_autis,Vaccines cause autism,Health,gpt-4o-mini,gpt-4o,gpt-4o,10,1
study2_length,pair=gptmin_vs_gpt4o_claim=5g_towers_cause_canc_turns=2,gptmin_vs_gpt4o_5g_towers_cause_canc,5G towers cause cancer,Technology,gpt-4o-mini,gpt-4o,gpt-4o,2,1
study2_length,pair=gptmin_vs_gpt4o_claim=5g_towers_cause_canc_turns=4,gptmin_vs_gpt4o_5g_towers_cause_canc,5G towers cause cancer,Technology,gpt-4o-mini,gpt-4o,gpt-4o,4,1
study2_length,pair=gptmin_vs_gpt4o_claim=5g_towers_cause_canc_turns=6,gptmin_vs_gpt4o_5g_towers_cause_canc,5G towers cause cancer,Technology,gpt-4o-mini,gpt-4o,gpt-4o,6,1
study2_length,pair=gptmin_vs_gpt4o_claim=5g_towers_cause_canc_turns=8,gptmin_vs_gpt4o_5g_towers_cause_canc,5G towers cause cancer,Technology,gpt-4o-mini,gpt-4o,gpt-4o,8,1
study2_length,pair=gptmin_vs_gpt4o_claim=5g_towers_cause_canc_turns=10,gptmin_vs_gpt4o_5g_towers_cause_canc,5G towers cause cancer,Technology,gpt-4o-mini,gpt-4o,gpt-4o,10,1
study2_length,pair=gptmin_vs_gpt4o_claim=climate_change_is_a__turns=2,gptmin_vs_gpt4o_climate_change_is_a_,"Climate change is a natural cycle, not caused by humans",Environmental,gpt-4o-mini,gpt-4o,gpt-4o,2,1
study2_length,pair=gptmin_vs_gpt4o_claim=climate_change_is_a__turns=4,gptmin_vs_gpt4o_climate_change_is_a_,"Climate change is a natural cycle, not caused by humans",Environmental,gpt-4o-mini,gpt-4o,gpt-4o,4,1
study2_length,pair=gptmin_vs_gpt4o_claim=climate_change_is_a__turns=6,gptmin_vs_gpt4o_climate_change_is_a_,"Climate change is a natural cycle, not caused by humans",Environmental,gpt-4o-mini,gpt-4o,gpt-4o,6,1
study2_length,pair=gptmin_vs_gpt4o_claim=climate_change_is_a__turns=8,gptmin_vs_gpt4o_climate_change_is_a_,"Climate change is a natural cycle, not caused by humans",Environmental,gpt-4o-mini,gpt-4o,gpt-4o,8,1
study2_length,pair=gptmin_vs_gpt4o_claim=climate_change_is_a__turns=10,gptmin_vs_gpt4o_climate_change_is_a_,"Climate change is a natural cycle, not caused by humans",Environmental,gpt-4o-mini,gpt-4o,gpt-4o,10,1
study2_length,pair=gptmin_vs_gpt4o_claim=the_2020_election_wa_turns=2,gptmin_vs_gpt4o_the_2020_election_wa,The 2020 election was stolen,Political,gpt-4o-mini,gpt-4o,gpt-4o,2,1
study2_length,pair=gptmin_vs_gpt4o_claim=the_2020_election_wa_turns=4,gptmin_vs_gpt4o_the_2020_election_wa,The 2020 election was stolen,Political,gpt-4o-mini,gpt-4o,gpt-4o,4,1
study2_length,pair=gptmin_vs_gpt4o_claim=the_2020_election_wa_turns=6,gptmin_vs_gpt4o_the_2020_election_wa,The 2020 election was stolen,Political,gpt-4o-mini,gpt-4o,gpt-4o,6,1
study2_length,pair=gptmin_vs_gpt4o_claim=the_2020_election_wa_turns=8,gptmin_vs_gpt4o_the_2020_election_wa,The 2020 election was stolen,Political,gpt-4o-mini,gpt-4o,gpt-4o,8,1
study2_length,pair=gptmin_vs_gpt4o_claim=the_2020_election_wa_turns=10,gptmin_vs_gpt4o_the_2020_election_wa,The 2020 election was stolen,Political,gpt-4o-mini,gpt-4o,gpt-4o,10,1
study2_length,pair=gptmin_vs_claude202_claim=vaccines_cause_autis_turns=2,gptmin_vs_claude202_vaccines_cause_autis,Vaccines cause autism,Health,gpt-4o-mini,claude-sonnet-4-20250514,gpt-4o,2,1
study2_length,pair=gptmin_vs_claude202_claim=vaccines_cause_autis_turns=4,gptmin_vs_claude202_vaccines_cause_autis,Vaccines cause autism,Health,gpt-4o-mini,claude-sonnet-4-20250514,gpt-4o,4,1
study2_length,pair=gptmin_vs_claude202_claim=vaccines_cause_autis_turns=6,gptmin_vs_claude202_vaccines_cause_autis,Vaccines cause autism,Health,gpt-4o-mini,claude-sonnet-4-20250514,gpt-4o,6,1
study2_length,pair=gptmin_vs_claude202_claim=vaccines_cause_autis_turns=8,gptmin_vs_claude202_vaccines_cause_autis,Vaccines cause autism,Health,gpt-4o-mini,claude-sonnet-4-20250514,gpt-4o,8,1
study2_length,pair=gptmin_vs_claude202_claim=vaccines_cause_autis_turns=10,gptmin_vs_claude202_vaccines_cause_autis,Vaccines cause autism,Health,gpt-4o-mini,claude-sonnet-4-20250514,gpt-4o,10,1
study2_length,pair=gptmin_vs_claude202_claim=5g_towers_cause_canc_turns=2,gptmin_vs_claude202_5g_towers_cause_canc,5G towers cause cancer,Technology,gpt-4o-mini,claude-sonnet-4-20250514,gpt-4o,2,1
