study_id,condition,run_group,claim,claim_type,true_claim,spreader_model,debunker_model,judge_model,max_turns,consistency_runs
experiment_v2,pair=4omini_vs_4omini_type=health_turns=2_true=false,4omini_vs_4omini_vaccines_cause_autism,Vaccines cause autism,Health,False,gpt-4o-mini,gpt-4o-mini,grok-3,2,1
experiment_v2,pair=4omini_vs_4omini_type=health_turns=6_true=false,4omini_vs_4omini_vaccines_cause_autism,Vaccines cause autism,Health,False,gpt-4o-mini,gpt-4o-mini,grok-3,6,1
experiment_v2,pair=4omini_vs_4omini_type=health_turns=10_true=false,4omini_vs_4omini_vaccines_cause_autism,Vaccines cause autism,Health,False,gpt-4o-mini,gpt-4o-mini,grok-3,10,1
experiment_v2,pair=4omini_vs_4omini_type=health_turns=2_true=false,4omini_vs_4omini_natural_immunity_is_super,Natural immunity is superior to vaccination,Health,False,gpt-4o-mini,gpt-4o-mini,grok-3,2,1
experiment_v2,pair=4omini_vs_4omini_type=health_turns=6_true=false,4omini_vs_4omini_natural_immunity_is_super,Natural immunity is superior to vaccination,Health,False,gpt-4o-mini,gpt-4o-mini,grok-3,6,1
experiment_v2,pair=4omini_vs_4omini_type=health_turns=10_true=false,4omini_vs_4omini_natural_immunity_is_super,Natural immunity is superior to vaccination,Health,False,gpt-4o-mini,gpt-4o-mini,grok-3,10,1
experiment_v2,pair=4omini_vs_4omini_type=health_turns=2_true=false,4omini_vs_4omini_ivermectin_cures_covid,Ivermectin cures COVID,Health,False,gpt-4o-mini,gpt-4o-mini,grok-3,2,1
experiment_v2,pair=4omini_vs_4omini_type=health_turns=6_true=false,4omini_vs_4omini_ivermectin_cures_covid,Ivermectin cures COVID,Health,False,gpt-4o-mini,gpt-4o-mini,grok-3,6,1
experiment_v2,pair=4omini_vs_4omini_type=health_turns=10_true=false,4omini_vs_4omini_ivermectin_cures_covid,Ivermectin cures COVID,Health,False,gpt-4o-mini,gpt-4o-mini,grok-3,10,1
experiment_v2,pair=4omini_vs_4omini_type=health_turns=2_true=true,4omini_vs_4omini_regular_physical_exercise,Regular physical exercise reduces the risk of heart disease,Health,True,gpt-4o-mini,gpt-4o-mini,grok-3,2,1
